scenario_id,domain,document_id,expected_retrieval_chunk_ids,candidate_question,question_type,ground_truth_summary,reviewer_status
CYB-S001,cyber_incident_response,CYB-001,"[""CYB-001_C11""]",What signs might indicate that a cyber incident has occurred?,factual_information,"The guide lists indicators of a possible cyber incident: computers running slowly, users locked out of accounts, users unable to access documents, ransom messages, reports of strange emails from the domain, redirected searches, requests for unauthorised payments, and unusual account activity.",pending
CYB-S002,cyber_incident_response,CYB-001,"[""CYB-001_C15""]",Which channels does the guide recommend for reporting a cyber attack to law enforcement?,resource_seeking,A cyber attack is a crime and should be reported to law enforcement through Report Fraud or Police Scotland's 101 call centre. The NCSC notes many incidents go unreported because of personal embarrassment.,pending
CYB-S003,cyber_incident_response,CYB-001,"[""CYB-001_C14""]",What actions may be required when an organisation that manages its own IT activates its incident plan?,procedural_guidance,"Activating the incident plan may involve replacing infected hardware, restoring services from backups, patching software, cleaning infected machines, and changing passwords.",pending
CYB-S004,cyber_incident_response,CYB-003,"[""CYB-003_C16""]",What is the difference between a hot debrief and a formal debrief?,clarification,"A hot debrief is held immediately after recovery; a formal debrief (also called a cold debrief) is held days to weeks afterwards, allowing time between the incident and the discussion.",pending
CYB-S005,cyber_incident_response,CYB-003,"[""CYB-003_C05""]",How does the guidance define a cybersecurity incident?,factual_information,"An unwanted or unexpected cybersecurity event, or a series of such events, that either has compromised business operations or has a significant probability of compromising business operations.",pending
CYB-S006,cyber_incident_response,CYB-003,"[""CYB-003_C17""]",Which questions could a facilitator use to guide discussion during a hot debrief?,procedural_guidance,"The hot debrief guidance lists prompts covering what went well, what could be done differently to improve, what action has been taken to remediate immediate risk, and whether any further issues need immediate resolution.",pending
CYB-S007,cyber_incident_response,CYB-004,"[""CYB-004_C06""]",What reason does the publication give for no longer providing detailed incident response procedures?,factual_information,"The details of how to perform incident response change so often and vary so much across technologies, environments and organisations that capturing them in a single static publication is no longer feasible.",pending
CYB-S008,cyber_incident_response,CYB-004,"[""CYB-004_C09"", ""CYB-004_C10""]",Is incident response best handled as a separate set of activities performed by a separate team?,misinformation_correction,That approach was realistic when incidents were rare and narrow in scope. It no longer holds: incident response is now considered a critical part of cybersecurity risk management that should be integrated across organisational operations.,pending
CYB-S009,cyber_incident_response,CYB-004,"[""CYB-004_C12""]",Which of the six CSF 2.0 Functions support preparation rather than incident response itself?,clarification,"Govern, Identify and Protect are preparation activities that are not part of incident response itself; Detect, Respond and Recover make up the incident response.",pending
DIS-S001,natural_disaster,DIS-001,"[""DIS-001_C02""]","What are the three actions that make up Drop, Cover, and Hold On?",factual_information,"Drop to your hands and knees; cover your head and neck with your arms, crawling only as far as needed to reach cover from falling materials; hold on to sturdy furniture until the shaking stops.",pending
DIS-S002,natural_disaster,DIS-001,"[""DIS-001_C01""]",Is a doorway a recommended place to shelter during an earthquake?,misinformation_correction,"No. The sheet states directly that you should not get in a doorway, and also that you should not run outside.",pending
DIS-S003,natural_disaster,DIS-001,"[""DIS-001_C03""]",What should someone do if an earthquake happens while they are in a vehicle?,procedural_guidance,"Stop in a clear area away from buildings, trees, overpasses, underpasses and utility wires.",pending
DIS-S004,natural_disaster,DIS-002,"[""DIS-002_C04""]",What should someone do if they become trapped in a building during a flood?,procedural_guidance,"Go to the highest level of the building. Do not climb into a closed attic, where rising floodwater could trap you. Go on the roof only if necessary, and signal for help.",pending
DIS-S005,natural_disaster,DIS-002,"[""DIS-002_C03""]",Where can someone find information about the type of flood risk in their area?,resource_seeking,FEMA's Flood Map Service Center.,pending
DIS-S006,natural_disaster,DIS-002,"[""DIS-002_C03""]",Does a standard homeowner's insurance policy cover flooding?,misinformation_correction,No. Homeowner's policies do not cover flooding; flood coverage is obtained under the National Flood Insurance Program.,pending
DIS-S007,natural_disaster,DIS-003,"[""DIS-003_C01""]",Which shelter locations should be prioritized when a tornado warning is issued?,prioritization,"Go first to a safe room, basement or storm cellar. If there is no basement, get to a small interior room on the lowest level. Stay away from windows, doors and outside walls.",pending
DIS-S008,natural_disaster,DIS-003,"[""DIS-003_C02""]",What signs may indicate that a tornado is approaching?,factual_information,"A rotating funnel-shaped cloud, an approaching cloud of debris, or a loud roar similar to a freight train.",pending
DIS-S009,natural_disaster,DIS-003,"[""DIS-003_C04""]",How does the guide recommend communicating with family and friends after a tornado?,procedural_guidance,Save phone calls for emergencies because phone systems are often down or busy after a disaster; use text messaging or social media instead.,pending
DIS-S010,natural_disaster,DIS-004,"[""DIS-004_C03"", ""DIS-004_C05""]",What is the difference between a Flood Watch and a Flood Warning?,clarification,A Flood Watch is issued when conditions are favourable for flooding; it does not mean flooding will occur. A Flood Warning is issued when the hazardous weather event is imminent or already happening.,pending
DIS-S011,natural_disaster,DIS-004,"[""DIS-004_C04""]",When is a Flood Advisory issued?,factual_information,"When a specific weather event that is forecast to occur may become a nuisance, causing significant inconvenience without being serious enough to warrant a warning.",pending
DIS-S012,natural_disaster,DIS-004,"[""DIS-004_C02""]",What action does the National Weather Service advise when a Flash Flood Warning is issued?,factual_information,"Move immediately to high ground if you are in a flood prone area, because a flash flood can develop in minutes to hours and can occur even where rain is not falling.",pending
INF-S001,infrastructure_disruption,INF-001,"[""INF-001_C05""]",Is it safe to use a gas stove or oven to heat a home during a power outage?,misinformation_correction,"No. Never use a gas stovetop, oven, grill or dryer to heat a home.",pending
INF-S002,infrastructure_disruption,INF-001,"[""INF-001_C01""]",What services may a power outage disrupt?,factual_information,"A power outage may disrupt communications, water utilities and transportation for a long time; close businesses, stores, petrol stations, ATMs, banks and schools; cause food spoilage and water contamination; and cause injuries, disease or death or prevent the use of medical devices.",pending
INF-S003,infrastructure_disruption,INF-001,"[""INF-001_C05""]",What precautions apply when using a vehicle as a source of power or warmth during an outage?,procedural_guidance,Do not leave a vehicle running inside a garage even with the door open; run it in a well ventilated place outside.,pending
INF-S004,infrastructure_disruption,INF-002,"[""INF-002_C01""]",What are the primary hazards to avoid when using a portable generator?,factual_information,"Carbon monoxide poisoning from the toxic engine exhaust, electric shock or electrocution, and fire and burns.",pending
INF-S005,infrastructure_disruption,INF-002,"[""INF-002_C04""]",Is it safe to power house wiring by plugging a generator into a wall outlet?,misinformation_correction,"No. This practice, known as backfeeding, is extremely dangerous: it presents an electrocution risk to utility workers and neighbours on the same transformer and bypasses built-in circuit protection.",pending
INF-S006,infrastructure_disruption,INF-002,"[""INF-002_C05""]",How should fuel for a generator be stored?,procedural_guidance,"Never store generator fuel in the home. Store petrol, propane, kerosene and other flammable liquids outside living areas in properly labelled non-glass safety containers, away from fuel-burning appliances.",pending
INF-S007,infrastructure_disruption,INF-003,"[""INF-003_C05"", ""INF-003_C06""]",What is the difference between refrigerated foods that must be discarded after a power outage and those that remain safe to eat?,clarification,"Foods to discard after more than 4 hours without power include meat, poultry, fish, eggs, luncheon meat, casseroles, soups, mixed salads, gravy, milk and soft cheeses, and cut fruits and vegetables. Foods that remain safe include high-acid items such as mustard, ketchup, pickles, jams and jellies, and foods that do not require refrigeration such as whole fresh fruits and vegetables, unopened juices and dried fruit.",pending
INF-S008,infrastructure_disruption,INF-003,"[""INF-003_C03""]",Should perishable food be placed outside in the snow during a winter power outage?,misinformation_correction,No. Outside temperatures vary and thawing can occur; make ice instead by filling containers with water and leaving them outside to freeze.,pending
INF-S009,infrastructure_disruption,INF-003,"[""INF-003_C02""]",What should be done in advance so that stored food stays safe if the power fails?,procedural_guidance,"Keep an appliance thermometer in the refrigerator and freezer, group foods together, keep the freezer as full as possible, and know where to obtain dry ice or block ice.",pending
INF-S010,infrastructure_disruption,INF-004,"[""INF-004_C01""]",Where should someone look for official information during a power outage?,resource_seeking,"Listen to reports from local officials and energy suppliers, subscribe to text message alert services, and keep a list of emergency, family and work contacts.",pending
INF-S011,infrastructure_disruption,INF-004,"[""INF-004_C01""]",Which devices does the guidance recommend for receiving reports from officials and energy suppliers during an outage?,factual_information,"Battery-operated radios, computers, mobile phones and other mobile devices, newspapers and local media.",pending
INF-S012,infrastructure_disruption,INF-004,"[""INF-004_C01""]",What should someone prepare in advance so they can reach others during an outage?,procedural_guidance,"Keep a list of emergency, family and work contacts.",pending
