scenario_id,domain,document_id,expected_retrieval_chunk_ids,baseline_question,ground_truth_context,ground_truth_answer,question_type,answerability_label,reviewer_status
CYB-S002,cyber_incident_response,CYB-001,"[""CYB-001_C15""]",Which channels does the guide recommend for reporting a cyber attack to law enforcement?,Report to law enforcement Always remember that a cyber attack is a crime. Report to law enforcement via Report Fraud or through Police Scotland's 101 call centre. The NCSC strongly encourage the reporting of a cyber incident; many go unreported because of personal embarrassment.,"Report Fraud, or Police Scotland's 101 call centre.",resource_seeking,yes,pending
CYB-S003,cyber_incident_response,CYB-001,"[""CYB-001_C14""]",What actions may be required when an organisation that manages its own IT activates its incident plan?,"If you manage your own IT: put your plan into action. It's time to activate the incident plan you made in Step 1. Depending on the type of incident you are responding to, this may involve: replacing infected hardware; restoring services through backups; patching software; cleaning infected machines; changing passwords.","Replacing infected hardware, restoring services through backups, patching software, cleaning infected machines, and changing passwords.",procedural_guidance,yes,pending
CYB-S004,cyber_incident_response,CYB-003,"[""CYB-003_C16""]",What is the difference between a hot debrief and a formal debrief?,There are two types of debriefs organisations may hold after experiencing a cybersecurity incident: a hot debrief and a formal debrief (or cold debrief). A hot debrief is held immediately after an organisation has recovered its networks and systems. A formal debrief is held days to weeks after an organisation has recovered its networks and systems.,A hot debrief is held immediately after recovery; a formal debrief is held days to weeks afterwards.,clarification,yes,pending
CYB-S005,cyber_incident_response,CYB-003,"[""CYB-003_C05""]",How does the guidance define a cybersecurity incident?,"An unwanted or unexpected cybersecurity event, or a series of such events, that either has compromised business operations or has a significant probability of compromising business operations.","An unwanted or unexpected cybersecurity event, or a series of such events, that either has compromised business operations or has a significant probability of compromising them.",factual_information,yes,pending
CYB-S006,cyber_incident_response,CYB-003,"[""CYB-003_C17""]",Which questions could a facilitator use to guide discussion during a hot debrief?,Content. The facilitator could guide discussion using the following questions: What went well? What could we do differently next time to improve? What action has been taken to remediate immediate risk? Are there any further issues that require immediate resolution?,What went well; what could be done differently next time to improve; what action has been taken to remediate immediate risk; and whether any further issues require immediate resolution.,procedural_guidance,yes,pending
CYB-S007,cyber_incident_response,CYB-004,"[""CYB-004_C06""]",What reason does the publication give for no longer providing detailed incident response procedures?,"The scope of this publication differs significantly from previous versions. Because the details of how to perform incident response activities change so often and vary so much across technologies, environments, and organizations, it is no longer feasible to capture and maintain that information in a single static publication.","The details change too often and vary too much across technologies, environments and organisations to be captured in a single static publication.",factual_information,yes,pending
CYB-S008,cyber_incident_response,CYB-004,"[""CYB-004_C09"", ""CYB-004_C10""]",Is incident response best handled as a separate set of activities performed by a separate team?,"At that time, incidents were relatively rare, the scope of most incidents was narrow and well-defined, and incident response and recovery was usually completed within a day or two. Under those conditions, it was realistic to treat incident response as a separate set of activities performed by a separate team of personnel. However, the current state of incident response has greatly changed since then. Incident response is now considered a critical part of cybersecurity risk management that should be integrated across organizational operations.",No. That was realistic when incidents were rare and narrow in scope. Incident response is now considered a critical part of cybersecurity risk management that should be integrated across organisational operations.,misinformation_correction,yes,pending
CYB-S009,cyber_incident_response,CYB-004,"[""CYB-004_C12""]",Which of the six CSF 2.0 Functions support preparation rather than incident response itself?,"The bottom level reflects that the preparation activities of Govern, Identify, and Protect are not part of the incident response itself. Rather, they are much broader cybersecurity risk management activities that also support incident response. Incident response is shown in the top level of the figure: Detect, Respond, and Recover.","Govern, Identify and Protect. Detect, Respond and Recover make up the incident response itself.",clarification,yes,pending
CYB-S010,cyber_incident_response,CYB-001,"[""CYB-001_C05""]",Which threats should a small organisation prepare for first?,"So it is impractical to develop detailed step-by-step instructions to manage every type of incident, as the list could be endless. Instead you should prepare your business for the most common threats you face by developing plans to handle those incidents most likely to occur.","The most common threats it faces, by developing plans for the incidents most likely to occur, rather than trying to cover every possible type of incident.",prioritization,yes,pending
CYB-S011,cyber_incident_response,CYB-001,"[""CYB-001_C13""]",Where does the guide suggest looking for advice when trying to identify a cyber incident?,"Use the information you have gathered to look for advice online from trusted sources such as police or security websites. You may be able to find instructions there on how to fix the problem, although care should be taken before acting on unverified advice. In the case of internet outage, contact your ISP (using the details you have already identified in your incident plan) in the first instance; most will have pages that relate to service availability.","Trusted sources online such as police or security websites, with care taken before acting on unverified advice. For an internet outage, the ISP in the first instance.",resource_seeking,yes,pending
DIS-S001,natural_disaster,DIS-001,"[""DIS-001_C02""]","What are the three actions that make up Drop, Cover, and Hold On?","Practice Drop, Cover, and Hold On with family and coworkers. Drop to your hands and knees. Cover your head and neck with your arms. Crawl only as far as needed to reach cover from falling materials. Hold on to any sturdy furniture until the shaking stops.",Drop to your hands and knees; cover your head and neck with your arms; hold on to sturdy furniture until the shaking stops.,factual_information,yes,pending
DIS-S002,natural_disaster,DIS-001,"[""DIS-001_C01""]",Is a doorway a recommended place to shelter during an earthquake?,"IF AN EARTHQUAKE HAPPENS, PROTECT YOURSELF RIGHT AWAY. If in a vehicle, pull over and stop. If in bed, stay there. If outdoors, stay outdoors. Do not get in a doorway. Do not run outside.",No. The sheet states that you should not get in a doorway.,misinformation_correction,yes,pending
DIS-S003,natural_disaster,DIS-001,"[""DIS-001_C03""]",What should someone do if an earthquake happens while they are in a vehicle?,"If in a vehicle, stop in a clear area that is away from buildings, trees, overpasses, underpasses, or utility wires.","Stop in a clear area away from buildings, trees, overpasses, underpasses and utility wires.",procedural_guidance,yes,pending
